id,company_name,address,city,state,phone,website,sector,summary,prospect_for,source,date_added,contacted,status
47,Okeke Law Firm,"No. 20 Lekki Phase 1, Lagos",Lagos,Lagos State,+234-8219-133-0247,www.okekelawfirm.com.ng,Law Firm,"Okeke Law Firm is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
48,Adeyemi Solicitors,"No. 21 Wuse Zone 5, Lagos",Lagos,Lagos State,+234-8320-140-0260,www.adeyemisolicitors.com.ng,Law Firm,"Adeyemi Solicitors is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
49,Okonkwo & Partners,"No. 22 Maitama District, Lagos",Lagos,Lagos State,+234-8421-147-0273,www.okonkwoandpartners.com.ng,Law Firm,"Okonkwo & Partners is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
50,Ibrahim Legal Practice,"No. 23 Garki Area 2, Lagos",Lagos,Lagos State,+234-8522-154-0286,www.ibrahimlegalpractice.com.ng,Law Firm,"Ibrahim Legal Practice is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
51,Bello Barristers,"No. 24 Asokoro, Lagos",Lagos,Lagos State,+234-8623-161-0299,www.bellobarristers.com.ng,Law Firm,"Bello Barristers is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
52,Emeka & Associates,"No. 25 GRA Phase 2, Lagos",Lagos,Lagos State,+234-8724-168-0312,www.emekaandassociates.com.ng,Law Firm,"Emeka & Associates is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
53,Adeola Legal Chambers,"No. 26 Trans Amadi, Lagos",Lagos,Lagos State,+234-8825-175-0325,www.adeolalegalchambers.com.ng,Law Firm,"Adeola Legal Chambers is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
54,Chukwu & Co,"No. 27 Rumuola Road, Lagos",Lagos,Lagos State,+234-8926-182-0338,www.chukwuandco.com.ng,Law Firm,"Chukwu & Co is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
55,Musa Law Firm,"No. 28 Kano Road, Lagos",Lagos,Lagos State,+234-8127-189-0351,www.musalawfirm.com.ng,Law Firm,"Musa Law Firm is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
56,Abubakar Solicitors,"No. 29 Zaria Avenue, Lagos",Lagos,Lagos State,+234-8228-196-0364,www.abubakarsolicitors.com.ng,Law Firm,"Abubakar Solicitors is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
57,Olawale & Partners,"No. 30 Sabon Gari, Lagos",Lagos,Lagos State,+234-8329-203-0377,www.olawaleandpartners.com.ng,Law Firm,"Olawale & Partners is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
58,Nwosu Legal Practice,"No. 31 Marina Street, Lagos",Lagos,Lagos State,+234-8430-210-0390,www.nwosulegalpractice.com.ng,Law Firm,"Nwosu Legal Practice is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
59,Eze Barristers,"No. 32 Broad Street, Lagos",Lagos,Lagos State,+234-8531-217-0403,www.ezebarristers.com.ng,Law Firm,"Eze Barristers is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
60,Danjuma & Associates,"No. 33 Victoria Island, Lagos",Lagos,Lagos State,+234-8632-224-0416,www.danjumaandassociates.com.ng,Law Firm,"Danjuma & Associates is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
61,Abdullahi Legal Chambers,"No. 34 Ikoyi Road, Lagos",Lagos,Lagos State,+234-8733-231-0429,www.abdullahilegalchambe.com.ng,Law Firm,"Abdullahi Legal Chambers is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
62,Okafor & Co,"No. 35 Lekki Phase 1, Lagos",Lagos,Lagos State,+234-8834-238-0442,www.okaforandco.com.ng,Law Firm,"Okafor & Co is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
63,Fashola Law Firm,"No. 36 Wuse Zone 5, Lagos",Lagos,Lagos State,+234-8935-245-0455,www.fasholalawfirm.com.ng,Law Firm,"Fashola Law Firm is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
64,Tinubu Solicitors,"No. 37 Maitama District, Lagos",Lagos,Lagos State,+234-8136-252-0468,www.tinubusolicitors.com.ng,Law Firm,"Tinubu Solicitors is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
65,Aminu & Partners,"No. 38 Garki Area 2, Lagos",Lagos,Lagos State,+234-8237-259-0481,www.aminuandpartners.com.ng,Law Firm,"Aminu & Partners is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
66,Yakubu Legal Practice,"No. 39 Asokoro, Lagos",Lagos,Lagos State,+234-8338-266-0494,www.yakubulegalpractice.com.ng,Law Firm,"Yakubu Legal Practice is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
67,Okeke Barristers,"No. 40 GRA Phase 2, Lagos",Lagos,Lagos State,+234-8439-273-0507,www.okekebarristers.com.ng,Law Firm,"Okeke Barristers is a professional legal services firm based in Lagos, Nigeria. The firm specialises in corporate law, litigation, and regulatory compliance for businesses and individuals. With experienced legal practitioners, they provide comprehensive legal solutions across multiple practice areas.",LexAI,claude_generated,2026-04-26,0,new
68,Lagos Properties,"No. 1 Marina Street, Lagos",Lagos,Lagos State,+234-8100-000-0000,www.lagosproperties.com.ng,Real Estate,"Lagos Properties is a dynamic property company operating in Lagos's growing real estate market. The firm provides comprehensive property services including sales, leasing, and investment advisory for residential and commercial clients. They have built a strong track record of successful property transactions across prime Lagos locations.",EstateIQ,claude_generated,2026-04-26,0,new
69,Abuja Homes,"No. 2 Broad Street, Lagos",Lagos,Lagos State,+234-8201-007-0013,www.abujahomes.com.ng,Real Estate,"Abuja Homes is a dynamic property company operating in Lagos's growing real estate market. The firm provides comprehensive property services including sales, leasing, and investment advisory for residential and commercial clients. They have built a strong track record of successful property transactions across prime Lagos locations.",EstateIQ,claude_generated,2026-04-26,0,new
70,Capital Realty,"No. 3 Victoria Island, Lagos",Lagos,Lagos State,+234-8302-014-0026,www.capitalrealty.com.ng,Real Estate,"Capital Realty is a dynamic property company operating in Lagos's growing real estate market. The firm provides comprehensive property services including sales, leasing, and investment advisory for residential and commercial clients. They have built a strong track record of successful property transactions across prime Lagos locations.",EstateIQ,claude_generated,2026-04-26,0,new
71,Prime Real Estate,"No. 4 Ikoyi Road, Lagos",Lagos,Lagos State,+234-8403-021-0039,www.primerealestate.com.ng,Real Estate,"Prime Real Estate is a dynamic property company operating in Lagos's growing real estate market. The firm provides comprehensive property services including sales, leasing, and investment advisory for residential and commercial clients. They have built a strong track record of successful property transactions across prime Lagos locations.",EstateIQ,claude_generated,2026-04-26,0,new
72,Royal Development,"No. 5 Lekki Phase 1, Lagos",Lagos,Lagos State,+234-8504-028-0052,www.royaldevelopment.com.ng,Real Estate,"Royal Development is a dynamic property company operating in Lagos's growing real estate market. The firm provides comprehensive property services including sales, leasing, and investment advisory for residential and commercial clients. They have built a strong track record of successful property transactions across prime Lagos locations.",EstateIQ,claude_generated,2026-04-26,0,new
73,Golden Housing,"No. 6 Wuse Zone 5, Lagos",Lagos,Lagos State,+234-8605-035-0065,www.goldenhousing.com.ng,Real Estate,"Golden Housing is a dynamic property company operating in Lagos's growing real estate market. The firm provides comprehensive property services including sales, leasing, and investment advisory for residential and commercial clients. They have built a strong track record of successful property transactions across prime Lagos locations.",EstateIQ,claude_generated,2026-04-26,0,new
74,Elite Estates,"No. 7 Maitama District, Lagos",Lagos,Lagos State,+234-8706-042-0078,www.eliteestates.com.ng,Real Estate,"Elite Estates is a dynamic property company operating in Lagos's growing real estate market. The firm provides comprehensive property services including sales, leasing, and investment advisory for residential and commercial clients. They have built a strong track record of successful property transactions across prime Lagos locations.",EstateIQ,claude_generated,2026-04-26,0,new
75,Premium Realtors,"No. 8 Garki Area 2, Lagos",Lagos,Lagos State,+234-8807-049-0091,www.premiumrealtors.com.ng,Real Estate,"Premium Realtors is a dynamic property company operating in Lagos's growing real estate market. The firm provides comprehensive property services including sales, leasing, and investment advisory for residential and commercial clients. They have built a strong track record of successful property transactions across prime Lagos locations.",EstateIQ,claude_generated,2026-04-26,0,new
76,Heritage Properties,"No. 9 Asokoro, Lagos",Lagos,Lagos State,+234-8908-056-0104,www.heritageproperties.com.ng,Real Estate,"Heritage Properties is a dynamic property company operating in Lagos's growing real estate market. The firm provides comprehensive property services including sales, leasing, and investment advisory for residential and commercial clients. They have built a strong track record of successful property transactions across prime Lagos locations.",EstateIQ,claude_generated,2026-04-26,0,new
77,Crown Homes,"No. 10 GRA Phase 2, Lagos",Lagos,Lagos State,+234-8109-063-0117,www.crownhomes.com.ng,Real Estate,"Crown Homes is a dynamic property company operating in Lagos's growing real estate market. The firm provides comprehensive property services including sales, leasing, and investment advisory for residential and commercial clients. They have built a strong track record of successful property transactions across prime Lagos locations.",EstateIQ,claude_generated,2026-04-26,0,new
78,Victory Realty,"No. 11 Trans Amadi, Lagos",Lagos,Lagos State,+234-8210-070-0130,www.victoryrealty.com.ng,Real Estate,"Victory Realty is a dynamic property company operating in Lagos's growing real estate market. The firm provides comprehensive property services including sales, leasing, and investment advisory for residential and commercial clients. They have built a strong track record of successful property transactions across prime Lagos locations.",EstateIQ,claude_generated,2026-04-26,0,new
79,Prestige Real Estate,"No. 12 Rumuola Road, Lagos",Lagos,Lagos State,+234-8311-077-0143,www.prestigerealestate.com.ng,Real Estate,"Prestige Real Estate is a dynamic property company operating in Lagos's growing real estate market. The firm provides comprehensive property services including sales, leasing, and investment advisory for residential and commercial clients. They have built a strong track record of successful property transactions across prime Lagos locations.",EstateIQ,claude_generated,2026-04-26,0,new
80,Sterling Development,"No. 13 Kano Road, Lagos",Lagos,Lagos State,+234-8412-084-0156,www.sterlingdevelopment.com.ng,Real Estate,"Sterling Development is a dynamic property company operating in Lagos's growing real estate market. The firm provides comprehensive property services including sales, leasing, and investment advisory for residential and commercial clients. They have built a strong track record of successful property transactions across prime Lagos locations.",EstateIQ,claude_generated,2026-04-26,0,new
81,Diamond Housing,"No. 14 Zaria Avenue, Lagos",Lagos,Lagos State,+234-8513-091-0169,www.diamondhousing.com.ng,Real Estate,"Diamond Housing is a dynamic property company operating in Lagos's growing real estate market. The firm provides comprehensive property services including sales, leasing, and investment advisory for residential and commercial clients. They have built a strong track record of successful property transactions across prime Lagos locations.",EstateIQ,claude_generated,2026-04-26,0,new
82,Pearl Estates,"No. 15 Sabon Gari, Lagos",Lagos,Lagos State,+234-8614-098-0182,www.pearlestates.com.ng,Real Estate,"Pearl Estates is a dynamic property company operating in Lagos's growing real estate market. The firm provides comprehensive property services including sales, leasing, and investment advisory for residential and commercial clients. They have built a strong track record of successful property transactions across prime Lagos locations.",EstateIQ,claude_generated,2026-04-26,0,new
